S1_1_3_ID,S1_1_3_S1_F1_RA,S1_1_3_S1_F1_DEC,S1_1_3_S1_F1_MAG1_1,S1_1_3_S1_F1_ERR1_1,S1_1_3_S1_F3_ID,S1_1_3_S1_F3_RA,S1_1_3_S1_F3_DEC,S1_1_3_S1_F3_MAG1_3,S1_1_3_S1_F3_ERR1_3,S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_Separation_max,S1_1_3_ncat,S1_1_3_dist_bayesfactor,S1_1_3_dist_post,S1_1_3_p_single,S1_1_3_p_any,S1_1_3_p_i,S1_1_3_match_flag,S1_1_3_asn,S1_1_3_RA,S1_1_3_DEC,S1_F4_ID,S1_F4_RA,S1_F4_DEC,S1_F4_MAG1_4,S1_F4_ERR1_4,Separation_S1_F4_S1_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'6295',10.72734201,40.76080572,17.48750491,0.0546,'1131',10.7272072,40.76074346,17.65650491,0.0563,0.43054134,0.43054134,2,11.523644,0.9176292,0.9176292,0.9176292,1,1,2,10.727274605,40.76077459,'7800',10.72716656,40.76075586,17.56950491,0.0516,0.30223384,0.30223384,2,11.778848,0.9530116,0.9530116,0.9530116,1,1
'6296',10.72244178,40.76809552,19.35150491,0.1328,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.72244178,40.76809552,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6297',10.64000501,40.8780783,17.40150491,0.0399,'7483',10.64000919,40.87806894,17.39050491,0.0527,0.035565093,0.035565093,2,12.023357,0.9723796,0.9723796,0.9723796,1,1,2,10.6400071,40.87807362,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.95752305,0,0
'6297',10.64000501,40.8780783,17.40150491,0.0399,'7483',10.64000919,40.87806894,17.39050491,0.0527,0.035565093,0.035565093,2,12.023357,0.9723796,0.9723796,0.9723796,1,1,2,10.6400071,40.87807362,'6361',10.63990688,40.87807233,17.52450491,0.0619,0.2728358,0.2728358,2,11.824737,0.95752305,0.95752305,0.95752305,1,1
'6298',10.69125514,40.8107451,18.29250491,0.1028,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.69125514,40.8107451,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.87220126,0,0
'6298',10.69125514,40.8107451,18.29250491,0.1028,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.69125514,40.8107451,'921',10.69110084,40.8106623,17.88850491,0.0702,0.51537484,0.51537484,2,11.305831,0.87220126,0.87220126,0.87220126,1,1
'6300',10.63489953,40.88914418,16.59950491,0.0542,'11700',10.63512854,40.88896351,17.28450491,0.0672,0.9008239,0.9008239,2,9.824147,0.18202695,0.18202695,0.18202695,1,1,2,10.635014035,40.889053845,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6301',10.68626581,40.82014839,16.88850491,0.0392,'7536',10.68619448,40.82007742,17.07050491,0.0538,0.32099792,0.32099792,2,11.747106,0.9490734,0.9490734,0.9490734,1,1,2,10.686230145,40.820112905,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.972005,0,0
'6301',10.68626581,40.82014839,16.88850491,0.0392,'7536',10.68619448,40.82007742,17.07050491,0.0538,0.32099792,0.32099792,2,11.747106,0.9490734,0.9490734,0.9490734,1,1,2,10.686230145,40.820112905,'5803',10.6862226,40.82013236,17.01750491,0.0401,0.07299206,0.07299206,2,12.012329,0.972005,0.972005,0.972005,1,1
'6302',10.65656522,40.86667018,16.66550491,0.0811,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.65656522,40.86667018,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9082933,0,0
