S1_1_3_ID,S1_1_3_S1_F1_RA,S1_1_3_S1_F1_DEC,S1_1_3_S1_F1_MAG1_1,S1_1_3_S1_F1_ERR1_1,S1_1_3_S1_F3_ID,S1_1_3_S1_F3_RA,S1_1_3_S1_F3_DEC,S1_1_3_S1_F3_MAG1_3,S1_1_3_S1_F3_ERR1_3,S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_Separation_max,S1_1_3_ncat,S1_1_3_dist_bayesfactor,S1_1_3_dist_post,S1_1_3_p_single,S1_1_3_p_any,S1_1_3_p_i,S1_1_3_match_flag,S1_1_3_asn,S1_1_3_RA,S1_1_3_DEC,S1_F4_ID,S1_F4_RA,S1_F4_DEC,S1_F4_MAG1_4,S1_F4_ERR1_4,Separation_S1_F4_S1_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'34',10.72946308,40.82432882,19.03250491,0.1446,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.72946308,40.82432882,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'35',10.70452009,40.8578321,15.88250491,0.0273,'11866',10.70451142,40.8578572,17.26050491,0.0526,0.09339276,0.09339276,2,12.53415,0.9913142,0.9913142,0.99462056,0.61727846,1,2,10.704515755,40.85784465,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'36',10.77488104,40.77834644,17.38450491,0.0436,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.77488104,40.77834644,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'37',10.76924046,40.7805371,17.97350491,0.0731,'10411',10.76929406,40.7805736,18.11250491,0.0837,0.19650657,0.19650657,2,12.209595,0.9818367,0.9818367,0.9818367,1,1,2,10.76926726,40.78055535,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'38',10.74210796,40.8164483,17.34850491,0.0319,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.74210796,40.8164483,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'39',10.75134174,40.80693451,18.13150491,0.0487,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.75134174,40.80693451,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'40',10.78624871,40.76580991,17.67550491,0.072,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.78624871,40.76580991,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'41',10.79329739,40.77026376,18.95550491,0.1063,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.79329739,40.77026376,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'42',10.76665589,40.80289747,15.90050491,0.0245,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.76665589,40.80289747,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'43',10.74493012,40.83369101,16.63950491,0.0345,'3406',10.74488872,40.83367424,16.64050491,0.0362,0.12790929,0.12790929,2,12.451216,0.9895057,0.9895057,0.9895057,1,1,2,10.74490942,40.833682625,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9846208,0,0
'43',10.74493012,40.83369101,16.63950491,0.0345,'3406',10.74488872,40.83367424,16.64050491,0.0362,0.12790929,0.12790929,2,12.451216,0.9895057,0.9895057,0.9895057,1,1,2,10.74490942,40.833682625,'1407',10.74485987,40.83364965,16.88850491,0.0328,0.17974265,0.17974265,2,12.278077,0.9846208,0.9846208,0.9846208,1,1
'44',10.74574279,40.83573035,18.79150491,0.0976,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.74574279,40.83573035,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
