ID,RA,Dec,total_associations,ID_36_1,RA_36_1,Dec_36_1,mag_36_1,mag_err_36_1,ID_36_3,RA_36_3,Dec_36_3,mag_36_3,mag_err_36_3,sep_36_1_3,p_any_36_1_3,p_i_36_1_3,ID_36_4,RA_36_4,Dec_36_4,mag_36_4,mag_err_36_4,sep_36_1&3_4,p_any_36_1&3_4,p_i_36_1&3_4,36_associations,ID_45_1,RA_45_1,Dec_45_1,mag_45_1,mag_err_45_1,ID_45_3,RA_45_3,Dec_45_3,mag_45_3,mag_err_45_3,sep_45_1_3,p_any_45_1_3,p_i_45_1_3,ID_45_4,RA_45_4,Dec_45_4,mag_45_4,mag_err_45_4,sep_45_1&3_4,p_any_45_1&3_4,p_i_45_1&3_4,45_associations,sep_mean_36_mean_45,p_any_36_45,p_i_36_45
671,10.71953491,40.89672728,6,5774,10.71961587,40.89670042,17.17050491,0.0375,7080,10.71946913,40.89670183,17.43050491,0.0542,0.39934236,0.92906296,1,1353,10.71944995,40.89672626,17.26150491,0.0392,0.26760983,0.9582352,1,3,10758,10.71967192,40.89674666,18.03255224,0.0909,5110,10.71955925,40.89672215,17.83055224,0.095,0.31904256,0.9458223,1,2913,10.71944336,40.89676634,17.86255224,0.0784,0.4825548,0.8848112,1,3,0.18001547,0.9680513,1
672,10.71978341,40.90757171,6,5791,10.71979445,40.90753793,17.03650491,0.0424,3292,10.71978927,40.90752668,17.05750491,0.0332,0.042882144,0.9722831,1,6117,10.71975927,40.90754399,17.17450491,0.0363,0.09814201,0.9712652,0.999944,3,3113,10.71984725,40.90765712,18.03055224,0.0638,1057,10.71985006,40.90756111,18.13355224,0.1045,0.34572056,0.93985367,1,1077,10.71966015,40.90760342,18.21155224,0.09,0.5132864,0.86383665,1,3,0.25599658,0.9609883,1
673,10.70826787,40.91961041,6,5792,10.70831446,40.91959037,16.84750491,0.037,7073,10.70830169,40.91957505,16.82150491,0.0444,0.0651802,0.97187436,1,6549,10.7082621,40.91958611,16.79950491,0.0276,0.12566179,0.97016954,1,3,4065,10.70834428,40.91962327,17.52655224,0.0782,3776,10.70823869,40.91964003,17.02855224,0.029,0.29350144,0.9506199,1,1062,10.70814601,40.91964762,17.18855224,0.0464,0.39988488,0.92377275,1,3,0.23431481,0.9634043,1
674,10.71600286,40.91416999,5,5807,10.7159439,40.91415029,16.45050491,0.034,7091,10.71595469,40.91411401,16.58350491,0.0329,0.13386603,0.9694421,1,1440,10.71596277,40.91414465,16.41150491,0.0369,0.05804183,0.97233623,1,3,11975,10.716085,40.9142393,17.90455224,0.1325,5670,10.71601886,40.91416804,17.05855224,0.0717,0.31334746,0.9469642,1,9999,9999,9999,9999,9999,9999,0,0,2,0.3606668,0.94271284,1
675,10.59596275,40.84200049,5,5846,10.5962206,40.8419257,17.61550491,0.0799,7423,10.59602916,40.84190508,18.28550491,0.1806,0.5266372,0.8635914,0.990284,9999,9999,9999,9999,9999,9999,0,0,2,8472,10.5958005,40.84210213,18.18955224,0.1746,1522,10.59585948,40.84211588,17.64355224,0.0565,0.16808333,0.9650879,1,3895,10.59574185,40.84203878,18.09655224,0.1244,0.34861815,0.93903655,1,3,1.0748876,0.026404595,1
676,10.60239795,40.87015709,6,5878,10.60235136,40.87015227,17.53450491,0.0661,9839,10.60245477,40.87006489,17.55750491,0.0673,0.42214066,0.9209505,1,9741,10.60230894,40.87007241,17.54550491,0.0697,0.28742376,0.9553962,1,3,3248,10.60237198,40.87025969,18.26255224,0.0874,1099,10.60236823,40.87017633,18.26255224,0.0945,0.30026957,0.9494274,1,3017,10.60253242,40.87021693,18.44655224,0.1178,0.44188678,0.9066814,1,3,0.45889732,0.90867156,1
677,10.59527325,40.87933795,5,5885,10.595263,40.87932599,17.69150491,0.0645,6171,10.59539098,40.87935013,17.57950491,0.0748,0.35902807,0.94066936,1,4012,10.59537235,40.87930706,17.92650491,0.0802,0.16642871,0.96793866,1,3,4610,10.59519152,40.8793428,18.22755224,0.078,1576,10.59521727,40.87935356,18.16255224,0.0938,0.0800813,0.969406,1,9999,9999,9999,9999,9999,9999,0,0,2,0.38201287,0.93712115,1
678,10.61496363,40.85808155,6,5892,10.61499224,40.8580158,18.09650491,0.1362,1655,10.61518349,40.85810002,18.17750491,0.116,0.60256976,0.7857986,1,11524,10.6149111,40.85810781,18.03650491,0.1142,0.513727,0.873378,1,3,4155,10.61502322,40.85810409,17.82855224,0.0773,3019,10.61474686,40.85806128,18.40455224,0.1806,0.7680923,0.45231408,1,8449,10.61492487,40.85810032,18.11955224,0.1105,0.12566483,0.9675628,1,3,0.3592331,0.9430602,1
679,10.62403813,40.84784179,6,5897,10.62409768,40.84785327,16.22050491,0.0218,5531,10.62404713,40.84781671,16.52350491,0.0368,0.19045386,0.9658549,1,378,10.6240208,40.8478131,16.30750491,0.0235,0.16111864,0.9682743,1,3,1809,10.62405585,40.84787285,16.72455224,0.0489,393,10.62397814,40.84786504,16.72855224,0.05,0.2134807,0.9612507,1,8090,10.62402916,40.84782977,18.70255224,0.1346,0.14486863,0.9814068,0.54706395,3,0.13766527,0.970552,1
680,10.64675597,40.81935029,5,5900,10.6468338,40.81941655,17.21250491,0.0523,9999,9999,9999,9999,9999,9999,0,0,5611,10.64669951,40.81938572,17.33050491,0.0599,0.38232213,0.9350553,1,2,8181,10.64687146,40.819445,18.32555224,0.1231,8644,10.64675912,40.81938494,18.09555224,0.1211,0.37472722,0.93203217,1,11778,10.64660527,40.81906837,17.93155224,0.1349,1.372695,0.000252802,1,3,0.37071496,0.94018126,1
